analysis,label,n,mean_pre,mean_post,mean_diff,median_diff,ttest_p,ttest_stat,cohens_d,wilcoxon_p,wilcoxon_stat,wilcoxon_r,mean,median,midpoint,ttest_p_fdr,wilcoxon_p_fdr
H2_item,Q11,15,1.9333333333333333,2.8,0.8666666666666667,1.0,0.00048390844014263736,4.516254169567733,1.1660918123983757,0.0017552353687121413,0.0,0.7537075808102849,,,,0.0009305931541204565,0.0031379020781505834
H2_item,Q12,15,1.8666666666666667,3.1333333333333333,1.2666666666666666,1.0,9.362652075914268e-07,8.264217887815962,2.13381188326271,0.00031814957062010254,0.0,0.8819171036881969,,,,1.1703315094892835e-05,0.0030830716145482957
H2_item,Q13,15,2.0,2.7333333333333334,0.7333333333333333,1.0,0.0012266564027153188,4.0358966213793845,1.0420640267744758,0.0022543491824521134,6.0,0.7333333333333335,,,,0.001803906474581351,0.0033152193859589904
H2_item,Q14,15,1.6,2.7333333333333334,1.1333333333333333,1.0,0.00011970030779029322,5.2642500669253245,1.3592235226315375,0.0007660506977098094,0.0,0.8181118081858185,,,,0.0004426317864408889,0.0030830716145482957
H2_item,Q15,15,2.0,3.3333333333333335,1.3333333333333333,2.0,0.0001139136570955328,5.2915026221291805,1.3662601021279464,0.0012427339549726212,0.0,0.781078762746399,,,,0.0004426317864408889,0.0030830716145482957
H2_item,Q16,15,1.6666666666666667,2.8,1.1333333333333333,1.0,0.00011970030779029322,5.2642500669253245,1.3592235226315375,0.001275640308222464,0.0,0.7790356549761621,,,,0.0004426317864408889,0.0030830716145482957
H2_item,Q17,15,1.5333333333333334,2.3333333333333335,0.8,1.0,0.0004263757573432248,4.58257569495584,1.1832159566199232,0.001479874374983182,0.0,0.7673381170566713,,,,0.0009305931541204565,0.0030830716145482957
H2_item,Q18,15,1.3333333333333333,3.2,1.8666666666666667,2.0,1.3141972043858126e-07,9.727316672915116,2.5115823651657325,0.0002905216419912982,0.0,0.8882848188980279,,,,3.2854930109645316e-06,0.0030830716145482957
H2_item,Q19,15,1.0666666666666667,2.3333333333333335,1.2666666666666666,1.0,0.00016048655733765456,5.104071550414686,1.317865607507143,0.0008627354604389072,0.0,0.8091486573163204,,,,0.00044579599260459603,0.0030830716145482957
H2_item,Q20,15,1.1333333333333333,2.466666666666667,1.3333333333333333,1.0,1.8765065570256985e-05,6.324555320336759,1.632993161855452,0.000564499309058709,0.0,0.8407565237473004,,,,0.00015637554641880822,0.0030830716145482957
H2_item,Q21,15,1.0666666666666667,2.3333333333333335,1.2666666666666666,1.0,0.00016048655733765456,5.104071550414686,1.317865607507143,0.0013430411379358334,0.0,0.77499708109001,,,,0.00044579599260459603,0.0030830716145482957
H2_item,Q22,15,1.5333333333333334,2.8,1.2666666666666666,1.0,0.0003104504882398706,4.749999999999999,1.2264447262990152,0.0014409783181973444,0.0,0.7694471584609358,,,,0.0007761262205996766,0.0030830716145482957
H2_item,Q23,15,2.1333333333333333,3.066666666666667,0.9333333333333333,1.0,0.000475685440944419,4.525219546088179,1.1684066626621201,0.0019339343333298487,0.0,0.7458698539828915,,,,0.0009305931541204565,0.0031379020781505834
H2_item,Q24,15,2.0,2.533333333333333,0.5333333333333333,1.0,0.014771636573007953,2.7792333351186045,0.7175949614759235,0.010460667668897016,4.5,0.5962847939999438,,,,0.018464545716259943,0.013075834586121271
H2_item,Q25,15,1.9333333333333333,2.4,0.4666666666666667,1.0,0.0135173815244298,2.8243130467507513,0.729234492969466,0.009815328628645334,5.0,0.6024640760767093,,,,0.017786028321618158,0.012914906090322807
H3_post_only,Q26,15,,,,,0.012231370367566103,2.875,,0.021301432240131028,21.0,0.5945284284940308,3.2666666666666666,4.0,2.5,0.03261698764684294,0.05680381930701608
H3_post_only,Q27,15,,,,,0.10773618943757658,1.718465885608439,,0.12415818816696905,35.0,0.39699422278360913,2.8,3.0,2.5,0.1475049058771411,0.17417861023628495
H3_post_only,Q28,15,,,,,0.11062867940785583,1.703139727534664,,0.15240628395674932,36.0,0.36950417228136045,2.8666666666666667,3.0,2.5,0.1475049058771411,0.17417861023628495
H3_post_only,Q29,15,,,,,0.012094669306941844,2.8806921211358563,,0.017881797540909523,19.5,0.6114295984380816,3.2,3.0,2.5,0.03261698764684294,0.05680381930701608
H3_post_only,Q30,15,,,,,0.037972104030142985,2.2912878474779204,,0.033546937499885174,24.0,0.5487954724560284,3.0,3.0,2.5,0.07594420806028597,0.06709387499977035
H3_post_only,Q31,15,,,,,0.36304348716245793,0.940223706655337,,0.3015021875447672,42.5,0.266775576888347,2.7333333333333334,3.0,2.5,0.36304348716245793,0.3015021875447672
H3_post_only,Q32,15,,,,,0.14927528782279234,1.5260210213100975,,0.14380606632000256,35.0,0.3774256780481985,2.933333333333333,3.0,2.5,0.1706003289403341,0.17417861023628495
H3_post_only,Q33,15,,,,,0.007155217812347512,3.145509619955211,,0.010975802958107664,16.5,0.6567206798038654,3.2,3.0,2.5,0.03261698764684294,0.05680381930701608
H3_shared_confidence,H3_confidence_composite,15,6.066666666666666,8.0,1.9333333333333333,2.0,0.0007687008616143769,4.275816728492017,1.1040111320589774,0.0017662793415171194,2.0,0.7532026070813664,,,,,
